key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,year,total_goals,goal_difference,match_result
665,WC-2002,2002 FIFA Men's World Cup,M-2002-01,France vs Senegal,group stage,Group A,1,0,0,0,2002-05-31,20:30,S-177,Seoul World Cup Stadium,Seoul,South Korea,T-30,France,FRA,T-65,Senegal,SEN,0–1,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,2002,1,1,Away Win
666,WC-2002,2002 FIFA Men's World Cup,M-2002-02,Republic of Ireland vs Cameroon,group stage,Group E,1,0,0,0,2002-06-01,15:30,S-121,Niigata Stadium,Niigata,Japan,T-60,Republic of Ireland,IRL,T-11,Cameroon,CMR,1–1,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,2002,2,0,Draw
667,WC-2002,2002 FIFA Men's World Cup,M-2002-03,Uruguay vs Denmark,group stage,Group A,1,0,0,0,2002-06-01,18:00,S-179,Ulsan Munsu Football Stadium,Ulsan,South Korea,T-84,Uruguay,URY,T-22,Denmark,DNK,1–2,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0,2002,3,1,Away Win
668,WC-2002,2002 FIFA Men's World Cup,M-2002-04,Germany vs Saudi Arabia,group stage,Group E,1,0,0,0,2002-06-01,20:30,S-125,Sapporo Dome,Sapporo,Japan,T-31,Germany,DEU,T-63,Saudi Arabia,SAU,8–0,8,0,8,-8,0,0,0-0,0,0,home team win,1,0,0,2002,8,8,Home Win
669,WC-2002,2002 FIFA Men's World Cup,M-2002-05,Argentina vs Nigeria,group stage,Group F,1,0,0,0,2002-06-02,14:30,S-118,Kashima Stadium,Ibaraki,Japan,T-03,Argentina,ARG,T-50,Nigeria,NGA,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,2002,1,1,Home Win
670,WC-2002,2002 FIFA Men's World Cup,M-2002-06,Paraguay vs South Africa,group stage,Group B,1,0,0,0,2002-06-02,16:30,S-170,Busan Asiad Stadium,Busan,South Korea,T-55,Paraguay,PRY,T-70,South Africa,ZAF,2–2,2,2,0,0,0,0,0-0,0,0,draw,0,0,1,2002,4,0,Draw
671,WC-2002,2002 FIFA Men's World Cup,M-2002-07,England vs Sweden,group stage,Group F,1,0,0,0,2002-06-02,18:30,S-124,Saitama Stadium,Saitama,Japan,T-28,England,ENG,T-74,Sweden,SWE,1–1,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,2002,2,0,Draw
672,WC-2002,2002 FIFA Men's World Cup,M-2002-08,Spain vs Slovenia,group stage,Group B,1,0,0,0,2002-06-02,20:30,S-173,Gwangju World Cup Stadium,Gwangju,South Korea,T-73,Spain,ESP,T-69,Slovenia,SVN,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,2002,4,2,Home Win
673,WC-2002,2002 FIFA Men's World Cup,M-2002-09,Croatia vs Mexico,group stage,Group G,1,0,0,0,2002-06-03,15:30,S-121,Niigata Stadium,Niigata,Japan,T-18,Croatia,HRV,T-46,Mexico,MEX,0–1,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,2002,1,1,Away Win
674,WC-2002,2002 FIFA Men's World Cup,M-2002-10,Brazil vs Turkey,group stage,Group C,1,0,0,0,2002-06-03,18:00,S-179,Ulsan Munsu Football Stadium,Ulsan,South Korea,T-09,Brazil,BRA,T-80,Turkey,TUR,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,2002,3,1,Home Win
675,WC-2002,2002 FIFA Men's World Cup,M-2002-11,Italy vs Ecuador,group stage,Group G,1,0,0,0,2002-06-03,20:30,S-125,Sapporo Dome,Sapporo,Japan,T-41,Italy,ITA,T-25,Ecuador,ECU,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,2002,2,2,Home Win
676,WC-2002,2002 FIFA Men's World Cup,M-2002-12,China vs Costa Rica,group stage,Group C,1,0,0,0,2002-06-04,15:30,S-173,Gwangju World Cup Stadium,Gwangju,South Korea,T-14,China,CHN,T-17,Costa Rica,CRI,0–2,0,2,-2,2,0,0,0-0,0,0,away team win,0,1,0,2002,2,2,Away Win
677,WC-2002,2002 FIFA Men's World Cup,M-2002-13,Japan vs Belgium,group stage,Group H,1,0,0,0,2002-06-04,18:00,S-124,Saitama Stadium,Saitama,Japan,T-44,Japan,JPN,T-06,Belgium,BEL,2–2,2,2,0,0,0,0,0-0,0,0,draw,0,0,1,2002,4,0,Draw
678,WC-2002,2002 FIFA Men's World Cup,M-2002-14,South Korea vs Poland,group stage,Group D,1,0,0,0,2002-06-04,20:30,S-170,Busan Asiad Stadium,Busan,South Korea,T-71,South Korea,KOR,T-57,Poland,POL,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,2002,2,2,Home Win
679,WC-2002,2002 FIFA Men's World Cup,M-2002-15,Russia vs Tunisia,group stage,Group H,1,0,0,0,2002-06-05,15:30,S-119,Kobe Wing Stadium,Kobe,Japan,T-62,Russia,RUS,T-79,Tunisia,TUN,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,2002,2,2,Home Win
680,WC-2002,2002 FIFA Men's World Cup,M-2002-16,United States vs Portugal,group stage,Group D,1,0,0,0,2002-06-05,18:00,S-178,Suwon World Cup Stadium,Suwon,South Korea,T-83,United States,USA,T-58,Portugal,PRT,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,2002,5,1,Home Win
681,WC-2002,2002 FIFA Men's World Cup,M-2002-17,Germany vs Republic of Ireland,group stage,Group E,1,0,0,0,2002-06-05,20:30,S-118,Kashima Stadium,Ibaraki,Japan,T-31,Germany,DEU,T-60,Republic of Ireland,IRL,1–1,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,2002,2,0,Draw
682,WC-2002,2002 FIFA Men's World Cup,M-2002-18,Denmark vs Senegal,group stage,Group A,1,0,0,0,2002-06-06,15:30,S-171,Daegu World Cup Stadium,Daegu,South Korea,T-22,Denmark,DNK,T-65,Senegal,SEN,1–1,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,2002,2,0,Draw
683,WC-2002,2002 FIFA Men's World Cup,M-2002-19,Cameroon vs Saudi Arabia,group stage,Group E,1,0,0,0,2002-06-06,18:00,S-124,Saitama Stadium,Saitama,Japan,T-11,Cameroon,CMR,T-63,Saudi Arabia,SAU,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,2002,1,1,Home Win
684,WC-2002,2002 FIFA Men's World Cup,M-2002-20,France vs Uruguay,group stage,Group A,1,0,0,0,2002-06-06,20:30,S-170,Busan Asiad Stadium,Busan,South Korea,T-30,France,FRA,T-84,Uruguay,URY,0–0,0,0,0,0,0,0,0-0,0,0,draw,0,0,1,2002,0,0,Draw
685,WC-2002,2002 FIFA Men's World Cup,M-2002-21,Sweden vs Nigeria,group stage,Group F,1,0,0,0,2002-06-07,15:30,S-119,Kobe Wing Stadium,Kobe,Japan,T-74,Sweden,SWE,T-50,Nigeria,NGA,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,2002,3,1,Home Win
